id,k,servidor,tempo_real_segundos,crossover_rate,mutation_rate,population_size,elitism_size,tournament_size,num_generations,estacoes,estacoes_ga,fitness,fitness_ga,seed,tempo_ag_segundos,tempo_refinamento_segundos,tempo_total_segundos,usou_local_search
20,27,2,2318.5349304676056,0.7,0.08,200,12,5,350,"['96816919#7', '-24388772#1', '355112737#0', '219098056', '-177224146', '148700865#3', '-5062383#5', '59634557#0', '-49276240', '24990440#2', '240059760', '-23594937#6', '9250385', '42551572#0', '8107593#8', '-22995309#3', '-25994282#2', '-59472987#0', '69403435#3', '25218894#0', '24545277#0', '24658277', '30716559#0', '-172504419#2', '41936112#4', '23686088#0', '-24759928#12']","['96816919#7', '-24388772#1', '355112737#0', '219098056', '-177224146', '148700865#3', '-5062383#5', '59634557#0', '-49276240', '24990440#2', '240059760', '-23594937#6', '9250385', '42551572#0', '8107593#8', '-22995309#3', '-25994282#2', '-59472987#0', '69403435#3', '25218894#0', '24545277#0', '24658277', '30716559#0', '-172504419#2', '41936112#4', '23686088#0', '-24759928#12']",205617557,205617557,42,2318.5,0.0,2318.5,False
21,27,3,987.9115200042725,0.7,0.08,200,12,7,150,"['-13237126#1', '27361007', '148315137#0', '-22873507#4', '26095147', '148700865#3', '4662326#6', '-28334722#1', '24543754#1', '57386609#0', '26351508#0', '-26402427#1', '176677750#0', '-132530753#6', '5057240#0', '28561987', '318993479#0', '273583589#0', '28361464', '4381078#1', '-82308121#1', '73356200#4', '30716559#0', '36697823#9', '41936112#4', '23283470#3', '-24759928#12']","['-13237126#1', '27361007', '148315137#0', '-22873507#4', '26095147', '148700865#3', '4662326#6', '-28334722#1', '24543754#1', '57386609#0', '26351508#0', '-26402427#1', '176677750#0', '-132530753#6', '5057240#0', '28561987', '318993479#0', '273583589#0', '28361464', '4381078#1', '-82308121#1', '73356200#4', '30716559#0', '36697823#9', '41936112#4', '23283470#3', '-24759928#12']",209729781,209729781,42,987.9,0.0,987.9,False
22,27,3,1643.1999559402466,0.7,0.08,200,12,7,250,"['-13237126#1', '27361007', '150019652#0', '-63530469', '26095147', '148700865#3', '208633757#0', '-28334722#1', '145733630#2', '57386609#0', '26351508#0', '-26402427#1', '176677750#0', '7818919#2', '5057240#0', '28561987', '318993479#0', '273583589#0', '100011353#1', '26648779#0', '-82308121#1', '73356200#4', '8093938#0', '36697823#9', '41936112#4', '23283470#3', '-24759928#12']","['-13237126#1', '27361007', '150019652#0', '-63530469', '26095147', '148700865#3', '208633757#0', '-28334722#1', '145733630#2', '57386609#0', '26351508#0', '-26402427#1', '176677750#0', '7818919#2', '5057240#0', '28561987', '318993479#0', '273583589#0', '100011353#1', '26648779#0', '-82308121#1', '73356200#4', '8093938#0', '36697823#9', '41936112#4', '23283470#3', '-24759928#12']",205461685,205461685,42,1643.2,0.0,1643.2,False
23,27,3,2288.389520406723,0.7,0.08,200,12,7,350,"['-13237126#1', '24659466#0', '150019652#0', '-63530469', '26095147', '314049872#3', '4662326#6', '43459760', '145733630#2', '57386609#0', '26351508#0', '-26402427#1', '-23500005#1', '7818919#2', '5057240#0', '28561987', '-25553568', '273583589#0', '100011353#1', '26648779#0', '-82308121#1', '73356200#4', '8093938#0', '36697823#9', '41936112#4', '23283470#3', '-24759928#12']","['-13237126#1', '24659466#0', '150019652#0', '-63530469', '26095147', '314049872#3', '4662326#6', '43459760', '145733630#2', '57386609#0', '26351508#0', '-26402427#1', '-23500005#1', '7818919#2', '5057240#0', '28561987', '-25553568', '273583589#0', '100011353#1', '26648779#0', '-82308121#1', '73356200#4', '8093938#0', '36697823#9', '41936112#4', '23283470#3', '-24759928#12']",204007261,204007261,42,2288.4,0.0,2288.4,False
24,27,2,1017.3090476989746,0.7,0.08,200,12,10,150,"['-172504420#3', '23840718#0', '81970010', '26119249', '156639862#0', '67150810#1', '51751505', '-23499929#4', '5108329#0', '-330671118', '27199560', '209089926#3', '-145706067#3', '13787499', '-16661909#1', '142246708#2', '-23840890', '-250861400#0', '26163661#3', '-20302220#3', '-159800811#1', '173174623', '-32878467#2', '-23554624#2', '-19752580#9', '4674334#3', '28374726']","['-172504420#3', '23840718#0', '81970010', '26119249', '156639862#0', '67150810#1', '51751505', '-23499929#4', '5108329#0', '-330671118', '27199560', '209089926#3', '-145706067#3', '13787499', '-16661909#1', '142246708#2', '-23840890', '-250861400#0', '26163661#3', '-20302220#3', '-159800811#1', '173174623', '-32878467#2', '-23554624#2', '-19752580#9', '4674334#3', '28374726']",210262905,210262905,42,1017.3,0.0,1017.3,False
25,27,2,1701.9594020843506,0.7,0.08,200,12,10,250,"['-172504420#3', '23840718#0', '81970010', '26119249', '144113775', '67150810#1', '51751505', '-23499929#4', '-110918047', '-330671118', '27199560', '26517573', '-145706067#3', '13787499', '-16661909#1', '-300702138', '-23840890', '-250861400#0', '26163661#3', '155723667#2', '-167907749#1', '173174623', '227001437', '-23554624#2', '-202902105#1', '-129801393#2', '28374726']","['-172504420#3', '23840718#0', '81970010', '26119249', '144113775', '67150810#1', '51751505', '-23499929#4', '-110918047', '-330671118', '27199560', '26517573', '-145706067#3', '13787499', '-16661909#1', '-300702138', '-23840890', '-250861400#0', '26163661#3', '155723667#2', '-167907749#1', '173174623', '227001437', '-23554624#2', '-202902105#1', '-129801393#2', '28374726']",204832068,204832068,42,1702.0,0.0,1702.0,False
26,27,3,2213.588600873947,0.7,0.08,200,12,10,350,"['-172504420#3', '-209682816#0', '81970010', '26119249', '144113775', '67150810#1', '51751505', '-177436102#1', '-110918047', '-330671118', '27199560', '26517573', '39679729#0', '13787499', '-16661909#1', '132409801#7', '-23840890', '-250861400#0', '-23139024#4', '76128219#2', '-167907749#1', '173174623', '227001437', '24772923#27', '-202902105#1', '-129801393#2', '28374726']","['-172504420#3', '-209682816#0', '81970010', '26119249', '144113775', '67150810#1', '51751505', '-177436102#1', '-110918047', '-330671118', '27199560', '26517573', '39679729#0', '13787499', '-16661909#1', '132409801#7', '-23840890', '-250861400#0', '-23139024#4', '76128219#2', '-167907749#1', '173174623', '227001437', '24772923#27', '-202902105#1', '-129801393#2', '28374726']",203132423,203132423,42,2213.6,0.0,2213.6,False
27,27,2,1551.255432844162,0.7,0.08,300,4,5,150,"['276161774#0', '7767594#0', '-160153680', '172046605#2', '-24544081#5', '25457516', '-334482139', '49022703#1', '271860796#13', '23510614#0', '8118836#2', '32038319#0', '10376685#0', '-132618471#1', '33895303#0', '-53050247#0', '4662323', '24453706', '290365598#0', '26308731#0', '-30144664#5', '-30507605#0', '-40870379', '-124185954#3', '24166384#1', '-26996470#1', '33199219#3']","['276161774#0', '7767594#0', '-160153680', '172046605#2', '-24544081#5', '25457516', '-334482139', '49022703#1', '271860796#13', '23510614#0', '8118836#2', '32038319#0', '10376685#0', '-132618471#1', '33895303#0', '-53050247#0', '4662323', '24453706', '290365598#0', '26308731#0', '-30144664#5', '-30507605#0', '-40870379', '-124185954#3', '24166384#1', '-26996470#1', '33199219#3']",212602724,212602724,42,1551.3,0.0,1551.3,False
28,27,0,4897.43754696846,0.7,0.08,300,4,5,250,"['276161774#0', '61733075#0', '-160153680', '172046605#2', '-24544081#5', '25457516', '-334482139', '49022703#1', '271860796#13', '23510614#0', '8118836#2', '32038319#0', '81973200#0', '-132618471#1', '33895303#0', '-4662322#1', '-230287170', '24453706', '290365598#0', '26308731#0', '-30144664#5', '228450687', '5980369#1', '-124185954#3', '24166384#1', '-26996470#1', '33199219#3']","['276161774#0', '61733075#0', '-160153680', '172046605#2', '-24544081#5', '25457516', '-334482139', '49022703#1', '271860796#13', '23510614#0', '8118836#2', '32038319#0', '81973200#0', '-132618471#1', '33895303#0', '-4662322#1', '-230287170', '24453706', '290365598#0', '26308731#0', '-30144664#5', '228450687', '5980369#1', '-124185954#3', '24166384#1', '-26996470#1', '33199219#3']",209714128,209714128,42,4897.4,0.0,4897.4,False
29,27,0,6866.2786257267,0.7,0.08,300,4,5,350,"['25921631', '149552256#0', '59291971', '-30713748', '-24544081#5', '25457516', '-334482139', '49022703#1', '41934248#1', '23510614#0', '8118836#2', '32038319#0', '81973200#0', '-132618471#1', '33895303#0', '-4662322#1', '-230287170', '24453706', '290365598#0', '26308731#0', '-30144664#5', '228450687', '5980369#1', '-132336013#0', '24166384#1', '-26996470#1', '33199219#3']","['25921631', '149552256#0', '59291971', '-30713748', '-24544081#5', '25457516', '-334482139', '49022703#1', '41934248#1', '23510614#0', '8118836#2', '32038319#0', '81973200#0', '-132618471#1', '33895303#0', '-4662322#1', '-230287170', '24453706', '290365598#0', '26308731#0', '-30144664#5', '228450687', '5980369#1', '-132336013#0', '24166384#1', '-26996470#1', '33199219#3']",206734087,206734087,42,6866.3,0.0,6866.3,False
