approach,minutes,cs_amount,percentage,repetition,stat_route_length,stat_duration,stat_waiting_time,stat_time_loss,stat_depart_delay,sim_ended_time,reason,perf_duration_s,real_time_factor,ups,vehicles_inserted,vehicles_running,vehicles_waiting,teleports_total,teleports_collisions,teleports_jam,teleports_yield,teleports_wrong_lane,emergency_stops
random,10,16,25,2,10547.06,4986.25,3812.67,4029.1,22.91,81005.0,TraCI requested termination.,14652.485,4.05426,2722.746892,8001,0,0,3151,12,857,1115,1167,674
random,10,16,25,3,11910.41,5272.39,4026.49,4255.75,6.0,95354.0,TraCI requested termination.,16657.478,4.42768,2532.459355,8001,0,0,3089,25,784,1136,1144,687
random,10,16,25,4,11367.9,6340.63,5110.07,5348.63,5.14,97231.0,TraCI requested termination.,16304.575,4.63864,3111.480428,8001,0,0,3026,19,281,1301,1425,670
random,10,16,25,5,10501.72,4035.14,2931.82,3131.97,20.23,73127.0,TraCI requested termination.,15179.954,3.39441,2126.82937,8001,0,0,2890,10,664,954,1262,589
random,10,25,25,1,10673.74,3995.78,2878.71,3077.85,6.41,75200.0,TraCI requested termination.,25918.162,2.06805,1233.506103,8001,0,0,2841,7,415,1299,1120,615
random,10,25,25,2,10364.14,3201.49,2117.03,2304.9,11.19,53626.0,TraCI requested termination.,22978.899,1.39371,1114.723338,8001,0,0,2904,19,660,1060,1165,675
random,10,25,25,3,10444.34,4297.72,3155.03,3357.15,8.28,75182.0,TraCI requested termination.,23111.835,2.31838,1487.811418,8001,0,0,3052,5,470,1316,1261,691
random,10,25,25,4,10471.86,4732.14,3583.6,3790.15,16.53,86497.0,TraCI requested termination.,27029.591,2.40096,1400.755897,8001,0,0,3280,7,615,1424,1234,670
random,10,25,25,5,10306.06,4355.97,3183.94,3383.17,13.67,86644.0,TraCI requested termination.,21538.899,3.01984,1618.10035,8001,0,0,2989,17,880,783,1309,609
random,10,36,25,1,10160.44,2796.72,1739.24,1917.8,7.94,49837.0,TraCI requested termination.,34750.221,0.81257,643.925142,8001,0,0,2531,13,587,764,1167,618
random,10,36,25,2,10182.85,3228.02,2136.85,2322.88,5.76,57710.0,TraCI requested termination.,32300.888,1.11793,799.588296,8001,0,0,2532,11,411,996,1114,625
random,10,36,25,3,10194.69,3098.05,2031.98,2213.57,15.33,69205.0,TraCI requested termination.,35865.937,1.3273,691.11511,8001,0,0,2836,5,673,1023,1135,643
random,10,36,25,4,10564.93,3583.95,2426.92,2620.22,5.71,63953.0,TraCI requested termination.,32931.933,1.28608,870.741478,8001,0,0,3072,9,661,1028,1374,645
random,10,36,25,5,10063.13,2653.28,1645.17,1817.46,8.85,68735.0,TraCI requested termination.,31277.005,1.50702,678.738613,8001,0,0,2359,12,518,867,962,581
random,10,49,25,1,10033.65,2692.95,1653.71,1833.61,15.12,49882.0,TraCI requested termination.,41824.06,0.676214,515.16572,8001,0,0,2398,10,508,731,1149,608
random,10,49,25,2,9693.31,2235.88,1226.04,1393.9,8.31,52109.0,TraCI requested termination.,41951.87,0.727238,426.42297,8001,0,0,2166,8,458,706,994,608
random,10,49,25,3,10094.31,2972.74,1896.78,2077.12,5.11,67477.0,TraCI requested termination.,46030.343,0.996669,516.723002,8001,0,0,2644,8,398,960,1278,653
random,10,49,25,4,10007.35,2858.45,1806.28,1983.81,18.68,49920.0,TraCI requested termination.,44220.448,0.640428,517.191639,8001,0,0,2646,11,439,1104,1092,624
random,10,49,25,5,9853.03,2557.34,1516.67,1688.1,6.35,53954.0,TraCI requested termination.,46690.135,0.692952,438.234908,8001,0,0,2463,10,699,716,1038,639
random,10,9,25,1,11369.61,6109.86,4875.02,5112.94,4.93,97102.0,TraCI requested termination.,8882.006,8.50056,5503.820308,8001,0,0,3163,11,967,840,1345,595
random,10,9,25,2,11718.32,6997.37,5683.39,5947.3,5.84,102400.0,TraCI requested termination.,10574.435,7.64107,5294.461974,8001,0,0,3274,15,800,919,1540,668
random,10,9,25,3,11028.02,6928.19,5672.66,5940.68,11.78,114015.0,TraCI requested termination.,7609.472,12.1447,7284.664166,8001,0,0,3506,14,980,1021,1491,637
random,10,9,25,4,11255.09,5462.54,4231.06,4459.48,5.41,96268.0,TraCI requested termination.,9518.591,7.84444,4591.62874,8001,0,0,3379,16,1067,1025,1271,651
random,10,9,25,5,11081.16,4127.28,3011.58,3233.35,14.19,73069.0,TraCI requested termination.,9995.977,5.14897,3303.562623,8001,0,0,3263,4,1349,725,1185,630
