approach,minutes,cs_amount,percentage,repetition,stat_route_length,stat_duration,stat_waiting_time,stat_time_loss,stat_depart_delay,sim_ended_time,reason,perf_duration_s,real_time_factor,ups,vehicles_inserted,vehicles_running,vehicles_waiting,teleports_total,teleports_collisions,teleports_jam,teleports_yield,teleports_wrong_lane,emergency_stops
greedyvoronoi,40,49,15,3,9805.54,1610.87,698.88,866.76,13.59,45332.0,TraCI requested termination.,11603.442,2.04526,1110.752568,8001,0,0,1800,7,587,242,964,692
greedyvoronoi,40,49,15,4,9714.95,1787.38,866.99,1035.04,9.14,58896.0,TraCI requested termination.,9807.556,3.80278,1458.14523,8001,0,0,1723,6,424,287,1006,652
greedyvoronoi,40,49,15,5,9838.31,1550.16,632.51,797.86,7.71,40156.0,TraCI requested termination.,12435.855,1.49214,997.344372,8001,0,0,1784,10,457,317,1000,674
greedyvoronoi,40,9,15,1,10558.28,2412.52,1480.21,1662.74,10.39,76396.0,TraCI requested termination.,2662.169,20.5832,7250.689194,8001,0,0,2283,13,642,162,1466,590
greedyvoronoi,40,9,15,2,10617.65,2387.14,1444.27,1632.16,6.51,68349.0,TraCI requested termination.,4159.816,11.2382,4591.434092,8001,0,0,2277,18,555,107,1597,621
greedyvoronoi,40,9,15,3,10401.15,2476.23,1543.84,1730.2,7.06,69348.0,TraCI requested termination.,3335.415,14.3155,5939.989776,8001,0,0,1931,6,519,302,1104,578
greedyvoronoi,40,9,15,4,10512.53,2338.09,1401.02,1582.56,8.25,67198.0,TraCI requested termination.,2738.805,16.6489,6830.372005,8001,0,0,2299,7,589,156,1547,613
greedyvoronoi,40,9,15,5,10154.45,2605.19,1675.31,1862.07,5.5,67838.0,TraCI requested termination.,3296.29,14.0273,6323.50218,8001,0,0,2112,1,512,64,1535,634
greedyvoronoi,40,16,20,1,10484.18,2669.91,1678.88,1872.58,13.11,69223.0,TraCI requested termination.,5353.851,8.89509,3990.022322,8001,0,0,2724,17,675,230,1802,673
greedyvoronoi,40,16,20,2,10284.13,3837.03,2804.93,3006.63,6.9,83929.0,TraCI requested termination.,5955.598,10.4656,5154.823915,8001,0,0,2753,13,563,450,1727,634
greedyvoronoi,40,16,20,3,10475.03,2623.14,1611.85,1799.66,9.42,64480.0,TraCI requested termination.,6701.424,6.39864,3131.838099,8001,0,0,2586,7,570,399,1610,637
greedyvoronoi,40,16,20,4,10380.16,3290.28,2263.85,2452.8,35.4,79872.0,TraCI requested termination.,7375.12,7.90116,3569.506937,8001,0,0,2652,8,712,514,1418,626
greedyvoronoi,40,16,20,5,10551.49,2890.88,1890.58,2080.37,10.53,77832.0,TraCI requested termination.,6104.102,9.21217,3789.241399,8001,0,0,2878,8,935,322,1613,603
greedyvoronoi,40,25,20,1,10413.05,2084.07,1096.84,1277.35,8.56,45853.0,TraCI requested termination.,9825.569,2.46836,1697.063855,8001,0,0,2581,15,886,318,1362,649
greedyvoronoi,40,25,20,2,10092.97,2236.64,1259.11,1439.32,9.92,52577.0,TraCI requested termination.,8292.959,3.73534,2157.900576,8001,0,0,2699,10,735,513,1441,620
greedyvoronoi,40,25,20,3,9917.71,2416.73,1449.14,1629.72,26.75,59861.0,TraCI requested termination.,8416.579,4.54591,2297.405632,8001,0,0,2673,12,879,450,1332,655
greedyvoronoi,40,25,20,4,10190.1,2839.35,1834.31,2025.69,12.31,53021.0,TraCI requested termination.,7216.891,4.35381,3147.844134,8001,0,0,2664,6,706,204,1748,621
greedyvoronoi,40,25,20,5,10678.62,2244.93,1249.98,1427.61,6.39,55603.0,TraCI requested termination.,9867.458,3.44597,1820.296271,8001,0,0,2557,11,785,280,1481,593
greedyvoronoi,40,36,20,1,10287.54,2424.94,1435.58,1615.33,15.79,53825.0,TraCI requested termination.,12373.971,2.60426,1567.966662,8001,0,0,2822,23,700,398,1701,747
